ORIGIN_NAME,ORIGIN_LAT,ORIGIN_LONG,COEFFICIENT
"Whidbey Island, WA: Whidbey Island NAS",48.351799,-122.655998,0.0
"Toms River, NJ: Ocean County",39.92750168,-74.29239655,0.0
"Sugar Land, TX: Sugar Land Regional",29.622299194336,-95.65650177002,0.0
"Westerly, RI: Westerly State",41.3496017456,-71.8033981323,0.0
"Benton Harbor/St. Joseph, MI: Southwest Michigan Regional",42.128601074200006,-86.4284973145,1.0
"Rogers, AR: Rogers Municipal Carter Field",36.37229919,-94.10690308,0.0
"Tucson, AZ: Davis Monthan AFB",32.1665000916,-110.883003235,0.0
"Mansfield, OH: Mansfield Lahm Regional",40.82139968869999,-82.5166015625,1.0
"Keokuk, IA: Keokuk Municipal",40.459899902299995,-91.4284973145,1.0
"Annapolis, MD: Lee",38.942902,-76.568398,0.0
"Block Island, RI: Block Island State",41.1680984497,-71.577796936,0.0
"Broken Bow, NE: Broken Bow Municipal Kieth Glaze Field",41.4365005493,-99.6421966553,1.0
"Paso Robles, CA: Paso Robles Municipal",35.67290115,-120.6269989,1.0
"Uvalde, TX: Garner Field",29.2112998962,-99.743598938,1.0
"Mount Vernon, IL: Mount Vernon Airport",38.322774,-88.859257,1.0
"Glens Falls, NY: Floyd Bennett Memorial",43.3412017822,-73.6102981567,0.0
"Gulkana, AK: Gulkana Airport",62.1548996,-145.4570007,0.0
"Kalaupapa, HI: Kalaupapa Airport",21.21100044,-156.973999,1.0
"Waterfall, AK: Waterfall Seaplane Base",55.296298980699994,-133.242996216,1.0
"Kasaan, AK: Kasaan Seaplane Base",55.537399292,-132.397994995,1.0
"Steamboat Bay, AK: Steamboat Bay Airport",55.532662,-133.638167,1.0
"Concord, CA: Buchanan Field",37.9897003174,-122.056999207,0.0
"Miami, FL: Kendall-Tamiami Executive",25.6479,-80.4328,0.0
"Brookings, OR: Brookings Airport",42.0746,-124.290001,1.0
"Nashua, NH: Boire Field",42.7817,-71.514801,0.0
"Miles City, MT: Frank Wiley Field",46.428001403808594,-105.88600158691406,1.0
"Lewistown, MT: Lewistown Municipal",47.04930114746094,-109.46700286865234,1.0
"Havre, MT: Havre City-County",48.54299927,-109.762001,1.0
"Glasgow, MT: Wokal Field/Glasgow International",48.212502,-106.614998,1.0
"Oxnard/Ventura, CA: Oxnard",34.200801849365,-119.20700073242,0.0
"Jacksonville, IL: Jacksonville Municipal",39.774600982666016,-90.23829650878906,0.0
